C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter),receptor-ligand
 4195.0000, 1182.0000, 1274.0000,  125.0000, 1367.0000,  396.0000,  428.0000,   36.0000,  179.0000,   55.0000,   54.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  210.0000,   55.0000,   59.0000,    7.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  163.3332, 1934.6389,    4.4000,   24.8475,    4.2007,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4x6p\4x6p_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4x6p\4x6p_ligand.pdbqt
 3969.0000, 1147.0000, 1218.0000,  110.0000, 1322.0000,  395.0000,  421.0000,   30.0000,  312.0000,  103.0000,   98.0000,    8.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  215.0000,   56.0000,   64.0000,    7.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  150.2471, 1927.8724,    4.3784,   26.7630,    3.8199,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4crc\4crc_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4crc\4crc_ligand.pdbqt
 3839.0000, 1132.0000, 1191.0000,  101.0000,  959.0000,  299.0000,  307.0000,   23.0000,  176.0000,   58.0000,   59.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  101.0000,   34.0000,   28.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  119.7067, 1672.0854,    3.4381,   23.2502,    5.6576,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4ty7\4ty7_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4ty7\4ty7_ligand.pdbqt
 1705.0000,  449.0000,  534.0000,   26.0000,  176.0000,   48.0000,   56.0000,    3.0000,  168.0000,   43.0000,   58.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  138.0000,   36.0000,   37.0000,    2.0000,  156.0000,   38.0000,   51.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,   67.1361,  873.1096,    1.3618,   18.6251,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\5aba\5aba_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\5aba\5aba_ligand.pdbqt
 2750.0000,  699.0000,  832.0000,   40.0000,  173.0000,   48.0000,   56.0000,    3.0000,  230.0000,   58.0000,   66.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  106.9917, 1227.6340,    1.9710,   50.6640,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\5a7b\5a7b_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\5a7b\5a7b_ligand.pdbqt
 2042.0000,  530.0000,  625.0000,   31.0000,  174.0000,   47.0000,   57.0000,    3.0000,  231.0000,   57.0000,   69.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  158.0000,   39.0000,   50.0000,    2.0000,   88.0756,  975.6196,    2.1998,   28.9853,    1.0027,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4agn\4agn_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4agn\4agn_ligand.pdbqt
 2461.0000,  630.0000,  753.0000,   37.0000,  175.0000,   47.0000,   56.0000,    3.0000,  234.0000,   60.0000,   68.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  158.0000,   40.0000,   49.0000,    2.0000,  100.5012, 1156.9700,    1.7849,   42.2669,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4agp\4agp_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4agp\4agp_ligand.pdbqt
 2472.0000,  634.0000,  753.0000,   37.0000,  282.0000,   73.0000,   82.0000,    4.0000,  131.0000,   34.0000,   42.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  158.0000,   39.0000,   50.0000,    2.0000,  102.1922, 1163.5415,    1.7249,   40.8822,    0.4162,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4agq\4agq_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4agq\4agq_ligand.pdbqt
 3948.0000,  970.0000, 1125.0000,    0.0000,  206.0000,   52.0000,   59.0000,    0.0000,  434.0000,  106.0000,  112.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   71.4478, 1334.5448,    1.6386,   94.0989,    1.7582,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3bgz\3bgz_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3bgz\3bgz_ligand.pdbqt
 2013.0000,  505.0000,  574.0000,    0.0000,  397.0000,   96.0000,  112.0000,    0.0000,  220.0000,   54.0000,   58.0000,    0.0000,  222.0000,   53.0000,   59.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  377.0000,   97.0000,  109.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   57.5652,  992.3628,    0.7451,   27.1774,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3jya\3jya_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3jya\3jya_ligand.pdbqt
 3405.0000,  846.0000,  974.0000,    0.0000,  788.0000,  187.0000,  226.0000,    0.0000,  183.0000,   43.0000,   51.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   77.8117, 1287.7038,    1.6097,   72.3932,    0.6222,  D:\drug-design-energy\Dataset\CASF-2016\coreset\2c3i\2c3i_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\2c3i\2c3i_ligand.pdbqt
 3779.0000,  938.0000, 1117.0000,    0.0000,  929.0000,  230.0000,  267.0000,    0.0000,  375.0000,   90.0000,  105.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  173.0000,   45.0000,   51.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   93.3054, 1577.8059,    2.8371,   54.4413,    1.1988,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4k18\4k18_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4k18\4k18_ligand.pdbqt
 4371.0000, 1087.0000, 1256.0000,    0.0000,  755.0000,  188.0000,  218.0000,    0.0000,  217.0000,   53.0000,   55.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  548.0000,  136.0000,  157.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   95.3289, 1721.8289,    4.0794,   76.1396,    3.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\5dwr\5dwr_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\5dwr\5dwr_ligand.pdbqt
 2420.0000,  530.0000,  549.0000,   53.0000,  114.0000,   31.0000,   32.0000,    3.0000,  224.0000,   52.0000,   53.0000,    5.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   54.8528,  859.0081,    0.2213,   57.5051,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3mss\3mss_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3mss\3mss_ligand.pdbqt
 2863.0000,  689.0000,  774.0000,   66.0000,  579.0000,  142.0000,  161.0000,   15.0000,  301.0000,   73.0000,   80.0000,    5.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  713.0000,  144.0000,  150.0000,   15.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   77.3330, 1437.9925,    0.8242,   55.8811,    0.0000,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3k5v\3k5v_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3k5v\3k5v_ligand.pdbqt
 2938.0000,  674.0000,  695.0000,   72.0000,  618.0000,  152.0000,  140.0000,   18.0000,  287.0000,   73.0000,   70.0000,    9.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  238.0000,   49.0000,   54.0000,    6.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   89.1756, 1289.1075,    2.5985,   56.2504,    1.1914,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3pyy\3pyy_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3pyy\3pyy_ligand.pdbqt
 4004.0000, 1034.0000, 1226.0000,   49.0000,  947.0000,  236.0000,  287.0000,    9.0000,  551.0000,  141.0000,  165.0000,    7.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   90.4089, 1693.0058,    2.7925,   39.8642,    3.2270,  D:\drug-design-energy\Dataset\CASF-2016\coreset\2v7a\2v7a_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\2v7a\2v7a_ligand.pdbqt
 3871.0000, 1001.0000, 1130.0000,   46.0000,  701.0000,  172.0000,  212.0000,    6.0000,  187.0000,   48.0000,   52.0000,    1.0000,  204.0000,   51.0000,   60.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  108.1929, 1561.3598,    6.1081,   73.1081,    2.3931,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4twp\4twp_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4twp\4twp_ligand.pdbqt
 2142.0000,  521.0000,  630.0000,   30.0000,  778.0000,  182.0000,  237.0000,   12.0000,    0.0000,    0.0000,    0.0000,    0.0000,  204.0000,   47.0000,   61.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  214.0000,   50.0000,   56.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   86.7248, 1099.4221,    2.8625,   12.6727,    1.1023,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3wtj\3wtj_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3wtj\3wtj_ligand.pdbqt
 1942.0000,  486.0000,  539.0000,   27.0000,  443.0000,  108.0000,  122.0000,    6.0000,  433.0000,  110.0000,  115.0000,    6.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.9505,  859.6008,    2.5921,   22.4515,    0.8760,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3zdg\3zdg_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3zdg\3zdg_ligand.pdbqt
 2472.0000,  618.0000,  692.0000,   36.0000,  635.0000,  157.0000,  180.0000,    9.0000,  200.0000,   50.0000,   58.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   78.5986, 1036.4307,    2.4382,   12.9888,    1.9290,  D:\drug-design-energy\Dataset\CASF-2016\coreset\3u8k\3u8k_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\3u8k\3u8k_ligand.pdbqt
 3466.0000,  860.0000, 1021.0000,   51.0000,  813.0000,  203.0000,  245.0000,   12.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  627.0000,  148.0000,  167.0000,    9.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  119.9526, 1467.4688,    3.7437,   79.7613,    1.8938,  D:\drug-design-energy\Dataset\CASF-2016\coreset\4qac\4qac_protein.pdbqt; D:\drug-design-energy\Dataset\CASF-2016\coreset\4qac\4qac_ligand.pdbqt
