C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter)
4195.0000,1182.0000,1274.0000,125.0000,1367.0000,396.0000,428.0000,36.0000,179.0000,55.0000,54.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,210.0000,55.0000,59.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.3330,1934.6379,4.4000,24.8475,4.2007
3969.0000,1147.0000,1218.0000,110.0000,1322.0000,395.0000,421.0000,30.0000,312.0000,103.0000,98.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.0000,56.0000,64.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,150.2469,1927.8730,4.3784,26.7630,3.8199
3839.0000,1132.0000,1191.0000,101.0000,959.0000,299.0000,307.0000,23.0000,176.0000,58.0000,59.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.0000,34.0000,28.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.7066,1672.0867,3.4381,23.2502,5.6576
1705.0000,449.0000,534.0000,26.0000,176.0000,48.0000,56.0000,3.0000,168.0000,43.0000,58.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,138.0000,36.0000,37.0000,2.0000,156.0000,38.0000,51.0000,2.0000,0.0000,0.0000,0.0000,0.0000,67.1361,873.1090,1.3618,18.6251,0.0000
2750.0000,699.0000,832.0000,40.0000,173.0000,48.0000,56.0000,3.0000,230.0000,58.0000,66.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.9916,1227.6340,1.9710,50.6641,0.0000
2042.0000,530.0000,625.0000,31.0000,174.0000,47.0000,57.0000,3.0000,231.0000,57.0000,69.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,158.0000,39.0000,50.0000,2.0000,88.0756,975.6196,2.1998,28.9853,1.0027
2461.0000,630.0000,753.0000,37.0000,175.0000,47.0000,56.0000,3.0000,234.0000,60.0000,68.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,158.0000,40.0000,49.0000,2.0000,100.5011,1156.9702,1.7849,42.2669,0.0000
2472.0000,634.0000,753.0000,37.0000,282.0000,73.0000,82.0000,4.0000,131.0000,34.0000,42.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,158.0000,39.0000,50.0000,2.0000,102.1919,1163.5416,1.7249,40.8822,0.4162
3948.0000,970.0000,1125.0000,0.0000,206.0000,52.0000,59.0000,0.0000,434.0000,106.0000,112.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.4478,1334.5442,1.6386,94.0989,1.7582
2013.0000,505.0000,574.0000,0.0000,397.0000,96.0000,112.0000,0.0000,220.0000,54.0000,58.0000,0.0000,222.0000,53.0000,59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,377.0000,97.0000,109.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5652,992.3633,0.7451,27.1774,0.0000
3405.0000,846.0000,974.0000,0.0000,788.0000,187.0000,226.0000,0.0000,183.0000,43.0000,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.8116,1287.7043,1.6097,72.3932,0.6222
3779.0000,938.0000,1117.0000,0.0000,929.0000,230.0000,267.0000,0.0000,375.0000,90.0000,105.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0000,45.0000,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.3054,1577.8049,2.8370,54.4413,1.1988
4371.0000,1087.0000,1256.0000,0.0000,755.0000,188.0000,218.0000,0.0000,217.0000,53.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,548.0000,136.0000,157.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.3288,1721.8279,4.0794,76.1396,3.0000
2420.0000,530.0000,549.0000,53.0000,114.0000,31.0000,32.0000,3.0000,224.0000,52.0000,53.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8527,859.0079,0.2213,57.5051,0.0000
2863.0000,689.0000,774.0000,66.0000,579.0000,142.0000,161.0000,15.0000,301.0000,73.0000,80.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,713.0000,144.0000,150.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3330,1437.9934,0.8242,55.8811,0.0000
2938.0000,674.0000,695.0000,72.0000,618.0000,152.0000,140.0000,18.0000,287.0000,73.0000,70.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,238.0000,49.0000,54.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.1755,1289.1077,2.5985,56.2504,1.1914
4004.0000,1034.0000,1226.0000,49.0000,947.0000,236.0000,287.0000,9.0000,551.0000,141.0000,165.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.4088,1693.0051,2.7925,39.8642,3.2270
3871.0000,1001.0000,1130.0000,46.0000,701.0000,172.0000,212.0000,6.0000,187.0000,48.0000,52.0000,1.0000,204.0000,51.0000,60.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.1929,1561.3585,6.1081,73.1080,2.3932
2142.0000,521.0000,630.0000,30.0000,778.0000,182.0000,237.0000,12.0000,0.0000,0.0000,0.0000,0.0000,204.0000,47.0000,61.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,214.0000,50.0000,56.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.7247,1099.4222,2.8625,12.6727,1.1024
1942.0000,486.0000,539.0000,27.0000,443.0000,108.0000,122.0000,6.0000,433.0000,110.0000,115.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.9504,859.6014,2.5921,22.4515,0.8760
2472.0000,618.0000,692.0000,36.0000,635.0000,157.0000,180.0000,9.0000,200.0000,50.0000,58.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5985,1036.4309,2.4382,12.9888,1.9291
3466.0000,860.0000,1021.0000,51.0000,813.0000,203.0000,245.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,627.0000,148.0000,167.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.9525,1467.4698,3.7437,79.7613,1.8937
2531.0000,641.0000,709.0000,36.0000,652.0000,161.0000,185.0000,9.0000,209.0000,52.0000,59.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,210.0000,48.0000,54.0000,3.0000,0.0000,0.0000,0.0000,0.0000,97.0256,1138.4600,3.9103,20.5546,1.9072
2562.0000,701.0000,742.0000,2.0000,478.0000,135.0000,139.0000,1.0000,1366.0000,377.0000,414.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.6817,1306.8168,4.7111,20.4932,3.5947
5389.0000,1494.0000,1609.0000,3.0000,616.0000,159.0000,179.0000,0.0000,725.0000,191.0000,219.0000,0.0000,372.0000,102.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,381.0000,101.0000,109.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0314,2257.7666,7.9631,73.0756,4.2713
5934.0000,1666.0000,1737.0000,3.0000,535.0000,153.0000,157.0000,1.0000,1313.0000,356.0000,377.0000,0.0000,190.0000,54.0000,60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141.4755,2352.1394,5.4969,77.9766,7.2358
6481.0000,1821.0000,1914.0000,7.0000,350.0000,96.0000,110.0000,0.0000,1470.0000,406.0000,440.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.2404,2545.6565,5.6936,100.4329,7.9447
5336.0000,1487.0000,1600.0000,3.0000,559.0000,160.0000,166.0000,0.0000,1308.0000,353.0000,391.0000,0.0000,332.0000,93.0000,104.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0975,2244.3049,4.8872,53.7596,5.7899
1919.0000,441.0000,518.0000,34.0000,329.0000,74.0000,83.0000,7.0000,343.0000,74.0000,92.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5350,785.9179,0.9669,31.7830,2.0138
2573.0000,570.0000,678.0000,47.0000,760.0000,177.0000,207.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.0000,25.0000,30.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.2324,1017.8779,0.6224,61.2669,0.0000
2861.0000,631.0000,756.0000,51.0000,574.0000,129.0000,149.0000,12.0000,198.0000,47.0000,55.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.4276,981.7441,0.4002,61.7648,0.4619
3369.0000,739.0000,870.0000,57.0000,906.0000,213.0000,230.0000,15.0000,282.0000,62.0000,75.0000,6.0000,108.0000,21.0000,28.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5787,1248.5865,1.2263,48.2439,2.1159
3123.0000,689.0000,834.0000,56.0000,875.0000,198.0000,240.0000,13.0000,238.0000,52.0000,69.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.0000,20.0000,19.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.7778,1291.3989,1.1773,61.7048,0.7432
1622.0000,421.0000,459.0000,8.0000,388.0000,103.0000,109.0000,2.0000,1191.0000,303.0000,347.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.1199,979.8383,7.1719,0.0000,10.0943
1064.0000,260.0000,306.0000,5.0000,207.0000,56.0000,57.0000,2.0000,658.0000,163.0000,188.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.6574,646.5906,7.7239,3.6763,11.1394
1650.0000,428.0000,472.0000,8.0000,389.0000,104.0000,113.0000,2.0000,870.0000,217.0000,255.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.4072,911.0768,8.2886,0.0000,9.2615
1278.0000,320.0000,375.0000,6.0000,209.0000,56.0000,57.0000,1.0000,864.0000,216.0000,244.0000,4.0000,208.0000,54.0000,59.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.9370,845.8087,9.4722,0.0000,12.5076
3256.0000,830.0000,980.0000,9.0000,216.0000,50.0000,61.0000,1.0000,848.0000,209.0000,244.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.2368,1331.3567,9.5851,21.7525,10.8997
2032.0000,641.0000,695.0000,11.0000,629.0000,190.0000,203.0000,0.0000,1011.0000,325.0000,337.0000,7.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,208.0000,65.0000,71.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.3900,1224.4084,2.8106,6.5260,5.0295
3100.0000,948.0000,1010.0000,17.0000,427.0000,133.0000,135.0000,0.0000,1448.0000,461.0000,485.0000,9.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.3601,1602.8772,8.4730,20.3642,9.8714
2679.0000,823.0000,874.0000,12.0000,217.0000,67.0000,68.0000,0.0000,1236.0000,395.0000,418.0000,9.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.5931,1306.8503,3.5109,17.4997,6.8205
2077.0000,661.0000,706.0000,11.0000,426.0000,135.0000,138.0000,0.0000,1455.0000,463.0000,493.0000,10.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,196.0000,59.0000,62.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.8054,1310.0128,5.0864,2.2915,9.8778
2809.0000,789.0000,751.0000,26.0000,77.0000,22.0000,17.0000,2.0000,635.0000,187.0000,167.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,149.0000,40.0000,39.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8070,1204.5577,1.7903,68.1384,0.0000
1938.0000,508.0000,533.0000,20.0000,426.0000,107.0000,117.0000,5.0000,1056.0000,268.0000,286.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.5288,1128.2031,7.0846,13.7067,7.8596
1515.0000,370.0000,389.0000,13.0000,587.0000,144.0000,156.0000,8.0000,1289.0000,325.0000,338.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.1187,1041.6545,4.1703,0.0000,5.2692
2522.0000,615.0000,695.0000,25.0000,439.0000,115.0000,128.0000,4.0000,1202.0000,301.0000,326.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.4279,1202.3374,5.0871,45.1676,4.4519
2105.0000,542.0000,585.0000,20.0000,427.0000,109.0000,120.0000,4.0000,861.0000,216.0000,232.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.4554,1120.5084,4.7258,20.6497,6.4113
1955.0000,498.0000,531.0000,21.0000,442.0000,112.0000,124.0000,5.0000,842.0000,209.0000,227.0000,7.0000,223.0000,59.0000,58.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.9709,1165.5858,5.2551,12.6517,5.3615
